module	gene
PTLD_IFN	IFI6
PTLD_IFN	OAS1
PTLD_IFN	OAS2
PTLD_IFN	ISG15
PTLD_IFN	MX1
PTLD_IFN	MX2
PTLD_IFN	IFIT1
PTLD_IFN	IFIT2
PTLD_IFN	IFIT3
PTLD_IFN	STAT1
PTLD_IFN	STAT2
PTLD_IFN	IRF7
PTLD_IFN	IRF9
PTLD_IFN	GBP1
PTLD_IFN	GBP2
PTLD_IFN	GBP5
PTLD_IFN	OASL
PTLD_IFN	IFI44
PTLD_IFN	IFI27
PTLD_IFN	IFI35
PTLD_IFN	IFITM1
PTLD_IFN	IFITM3
PTLD_IFN	RSAD2
PTLD_IFN	USP18
PTLD_IFN	XAF1
PTLD_IFN	BST2
PTLD_IFN	EPSTI1
PTLD_IFN	DDX58
PTLD_IFN	IFIH1
PTLD_IFN	EIF2AK2
IFNa	ISG15
IFNa	MX1
IFNa	OAS1
IFNa	OAS2
IFNa	IFIT1
IFNa	IFIT2
IFNa	IFIT3
IFNa	IFI6
IFNa	IFI27
IFNa	IFI44
IFNa	IFI44L
IFNa	IFITM1
IFNa	IFITM2
IFNa	IFITM3
IFNa	RSAD2
IFNa	USP18
IFNa	XAF1
IFNa	BST2
IFNa	EPSTI1
IFNa	EIF2AK2
IFNa	GBP1
IFNa	GBP2
IFNa	DDX58
IFNa	IFIH1
IFNa	IRF7
IFNa	IRF9
IFNa	STAT1
IFNa	STAT2
IFNa	SAMD9
IFNa	SAMD9L
IFNa	PARP9
IFNa	DTX3L
IFNa	TRIM22
IFNa	TRIM25
IFNa	TNFSF10
IFNa	ISG20
IFNa	OASL
IFNg	STAT1
IFNg	STAT2
IFNg	IRF1
IFNg	IRF7
IFNg	IRF9
IFNg	GBP1
IFNg	GBP2
IFNg	GBP5
IFNg	CXCL9
IFNg	CXCL10
IFNg	CXCL11
IFNg	HLA-A
IFNg	HLA-B
IFNg	HLA-C
IFNg	TAP1
IFNg	TAP2
IFNg	B2M
IFNg	PSMB8
IFNg	PSMB9
IFNg	PSME1
IFNg	PSME2
IFNg	NLRC5
IFNg	CIITA
IFNg	IFITM1
IFNg	IFITM3
IFNg	OAS1
IFNg	OAS2
IFNg	OASL
IFNg	MX1
IFNg	MX2
IFNg	ISG15
IFNg	ISG20
IFNg	IFI35
IFNg	SOCS1
IFNg	SOCS3
IFNg	JAK1
IFNg	JAK2
IFNg	CCL2
IFNg	CCL5
IFNg	CCL7
